passenger_count,trip_distance,trip_duration_minutes,pickup_hour,pickup_dayofweek,PULocationID,DOLocationID,high_revenue_trip
1,9.73,17.583333333333332,0,5,138,49,1
1,2.12,10.133333333333333,0,5,144,186,0
1,4.41,18.116666666666667,0,5,107,75,0
1,3.4,11.266666666666667,0,5,164,263,0
2,13.88,29.283333333333335,0,5,132,64,1
1,18.24,31.0,0,5,132,42,1
1,2.28,12.816666666666666,0,5,186,79,0
1,2.44,12.383333333333333,0,5,142,262,0
1,1.1,5.233333333333333,0,5,263,140,0
1,21.43,36.28333333333333,0,5,132,116,1
1,1.03,11.216666666666667,0,5,163,170,0
1,2.46,6.05,0,5,263,170,0
1,0.98,5.433333333333334,0,5,164,233,0
2,0.62,2.6166666666666667,0,5,170,162,0
1,1.28,9.8,0,5,161,229,0
1,18.0,38.63333333333333,0,5,132,230,1
1,3.6,14.083333333333334,0,5,163,7,0
1,4.85,12.433333333333334,0,5,50,152,1
1,0.8,2.716666666666667,0,5,162,237,0
1,1.6,7.15,0,5,79,170,0
1,1.6,7.866666666666666,0,5,170,163,0
3,1.26,6.983333333333333,0,5,144,45,0
2,3.63,16.983333333333334,0,5,79,142,1
1,0.49,3.2333333333333334,0,5,148,79,0
1,3.34,10.966666666666667,0,5,170,262,0
1,1.68,10.316666666666666,0,5,144,90,0
1,2.95,21.05,0,5,249,162,1
4,1.1,8.0,0,5,144,209,0
2,2.6,12.266666666666667,0,5,237,238,0
1,6.8,23.2,0,5,186,25,1
1,1.3,7.116666666666666,0,5,230,48,0
1,8.5,20.233333333333334,0,5,138,36,1
1,0.6,6.0,0,5,158,249,0
1,3.2,19.133333333333333,0,5,148,37,1
1,1.33,6.966666666666667,0,5,114,107,0
2,2.39,10.166666666666666,0,5,114,48,0
1,0.81,6.533333333333333,0,5,162,164,0
1,1.46,8.383333333333333,0,5,249,45,0
1,2.88,15.95,0,5,79,230,0
1,7.33,15.516666666666667,0,5,230,244,1
1,1.26,9.5,0,5,162,162,0
1,1.46,11.05,0,5,50,162,0
1,2.5,9.583333333333334,0,5,114,161,0
2,0.77,3.6166666666666667,0,5,48,48,0
1,1.42,9.516666666666667,0,5,186,233,0
1,1.4,5.85,0,5,234,162,0
1,1.45,5.933333333333334,0,5,246,158,0
1,1.16,2.7666666666666666,0,5,249,90,0
1,1.79,6.083333333333333,0,5,246,50,0
1,12.41,34.25,0,5,231,162,1
1,0.7,3.216666666666667,0,5,48,68,0
1,4.07,13.233333333333333,0,5,211,141,0
1,2.56,13.066666666666666,0,5,113,162,0
1,6.26,27.433333333333334,0,5,68,83,1
1,5.7,15.716666666666667,0,5,107,52,1
3,18.29,40.06666666666667,0,5,132,186,1
2,7.97,25.483333333333334,0,5,43,213,1
1,0.8,5.266666666666667,0,5,114,249,0
1,2.0,13.816666666666666,0,5,249,4,0
1,1.0,5.266666666666667,0,5,79,107,0
1,4.9,16.633333333333333,0,5,164,97,1
1,3.63,16.633333333333333,0,5,142,211,0
1,1.84,7.216666666666667,0,5,114,170,0
1,2.0,12.65,0,5,163,246,0
1,1.16,6.916666666666667,0,5,230,68,0
1,2.16,10.016666666666667,0,5,161,263,0
1,9.3,46.766666666666666,0,5,100,265,1
1,2.8,13.416666666666666,0,5,190,89,0
1,4.1,24.883333333333333,0,5,249,263,1
1,0.65,4.183333333333334,0,5,113,211,0
1,3.73,16.6,0,5,161,261,0
1,2.08,9.233333333333333,0,5,142,263,0
1,1.0,6.75,0,5,164,233,0
2,3.7,16.55,0,5,161,41,1
1,0.59,5.25,0,5,263,236,0
1,0.5,4.25,0,5,79,148,0
1,2.31,11.7,0,5,249,50,0
1,3.64,8.2,0,5,138,138,0
1,15.02,33.28333333333333,0,5,132,145,1
1,6.6,13.4,0,5,132,76,0
1,2.41,11.616666666666667,0,5,68,239,0
1,1.05,4.7,0,5,166,74,0
1,3.69,17.05,0,5,164,263,0
2,1.0,4.766666666666667,0,5,144,87,0
1,5.81,22.433333333333334,0,5,249,74,1
1,2.03,8.616666666666667,0,5,48,113,0
1,1.4,5.466666666666667,0,5,231,249,0
1,2.1,9.583333333333334,0,5,231,232,0
1,5.93,23.75,0,5,68,49,1
1,2.43,10.866666666666667,0,5,234,237,0
1,21.68,32.18333333333333,0,5,138,265,1
1,2.6,17.433333333333334,0,5,249,162,0
1,1.8,7.933333333333334,0,5,249,209,0
1,1.0,5.6,0,5,246,100,0
1,2.9,11.366666666666667,0,5,246,231,0
1,0.25,1.1833333333333333,0,5,230,230,0
1,2.47,11.716666666666667,0,5,50,233,0
1,3.56,7.716666666666667,0,5,233,209,0
1,1.23,8.033333333333333,0,5,79,148,0
1,1.67,7.7,0,5,237,164,0
1,3.1,11.233333333333333,0,5,164,143,0
1,3.26,13.316666666666666,0,5,239,162,0
1,1.47,7.483333333333333,0,5,239,163,0
1,1.14,8.4,0,5,249,79,0
1,2.06,9.316666666666666,0,5,79,68,0
2,1.72,8.533333333333333,0,5,158,231,0
1,0.44,3.283333333333333,0,5,163,48,0
1,3.97,14.55,0,5,170,151,0
1,0.39,3.716666666666667,0,5,151,151,0
1,0.39,3.716666666666667,0,5,151,151,0
1,0.82,5.016666666666667,0,5,48,161,0
1,1.34,8.366666666666667,0,5,234,246,0
1,1.82,10.233333333333333,0,5,158,211,0
3,1.9,6.883333333333334,0,5,230,68,0
2,3.39,15.6,0,5,234,231,0
1,3.0,12.35,0,5,234,142,0
1,1.7,5.766666666666667,0,5,234,48,0
1,0.7,3.6166666666666667,0,5,237,141,0
1,2.4,9.733333333333333,0,5,237,48,0
1,1.3,9.566666666666666,0,5,163,229,0
1,0.5,3.466666666666667,0,5,163,48,0
